layout_id,family,n_wecs,inside_count,outside_count,min_center_spacing_m,mean_center_spacing_m,spacing_violations,is_valid
0,random_sparse,28,28,0,32.62156462181145,877.5654973398009,1,False
1,row_aligned,28,28,0,32.988400016577266,939.5568508023487,1,False
2,grid_like,28,28,0,29.20362488531347,1005.826664025288,2,False
3,diagonal,28,28,0,45.026822296207925,882.266700085749,0,True
4,grid_like,28,28,0,56.53994348001199,1039.9690187273723,0,True
5,compact,28,28,0,48.392865921253545,938.6006711645914,0,True
6,diagonal,28,28,0,30.579711587677423,956.2498486396227,1,False
7,random_sparse,28,28,0,49.3822770659602,891.0297442562287,0,True
8,random_sparse,28,28,0,28.74891905808216,891.0497989382061,1,False
9,grid_like,28,28,0,27.371179069804175,953.3601897794115,1,False
10,diagonal,28,28,0,37.619113650209535,941.065018093295,1,False
11,compact,28,28,0,39.33566137076264,977.9132344326734,0,True
12,compact,28,28,0,25.346951346105115,909.2214166277159,2,False
13,random_sparse,28,28,0,40.266913700657796,852.9788232118167,0,True
14,row_aligned,28,28,0,31.064389998030716,978.3459566646928,1,False
15,compact,28,28,0,49.13788737171523,870.6825961932182,0,True
16,compact,28,28,0,54.859299631851485,801.6361387373223,0,True
17,random_sparse,28,28,0,42.76641609657485,940.8653996982122,0,True
18,compact,28,28,0,45.46111986698964,960.3471773655019,0,True
19,dispersed,28,28,0,63.80225096230741,796.2412825195378,0,True
20,dispersed,28,28,0,56.059402517234986,889.4898080450289,0,True
21,row_aligned,28,28,0,63.1649341574456,892.7168167175432,0,True
22,random_sparse,28,28,0,27.060387323990355,903.4458964147082,1,False
23,dispersed,28,28,0,31.536594549413085,971.9469183881363,1,False
24,grid_like,28,28,0,76.7043392527278,928.4308037369719,0,True
25,grid_like,28,28,0,96.48378681065824,915.0017931403166,0,True
26,compact,28,28,0,32.522307861077245,905.6947234192469,1,False
27,dispersed,28,28,0,29.473390076846258,956.6850818786561,1,False
28,diagonal,28,28,0,44.235499365197185,916.1763663978976,0,True
29,compact,28,28,0,33.487119289581074,776.4249400055921,1,False
30,grid_like,28,28,0,26.52096245909086,915.7970573877539,1,False
31,random_sparse,28,28,0,67.04171737052162,868.3376096960496,0,True
32,compact,28,28,0,33.0845262762159,969.5532211228401,1,False
33,row_aligned,28,28,0,29.126498704423945,920.8085893966355,1,False
34,random_sparse,28,28,0,22.147931509538132,958.6970461520668,1,False
35,grid_like,28,28,0,84.76303855512244,994.4266308500981,0,True
36,compact,28,28,0,57.75647239141215,930.8101940462626,0,True
37,row_aligned,28,28,0,32.02119035333829,909.7849739179494,1,False
38,row_aligned,28,28,0,73.70315986334202,841.7522914539632,0,True
39,row_aligned,28,28,0,53.124435766244275,908.7218224856397,0,True
40,compact,28,28,0,32.408058775284914,922.3874042263112,2,False
41,random_sparse,28,28,0,23.9042020797265,789.0961239877258,1,False
42,diagonal,28,28,0,38.35191203312018,914.4736338519668,1,False
43,row_aligned,28,28,0,38.47867153715829,883.1078132802949,1,False
44,grid_like,28,28,0,27.659684891037752,760.9110977056292,2,False
45,diagonal,28,28,0,47.54349030338783,870.7228605064543,0,True
46,dispersed,28,28,0,38.29644105417917,805.1545314278784,1,False
47,compact,28,28,0,46.92261633575594,917.2609709144419,0,True
48,random_sparse,28,28,0,28.08848204114034,1013.9153968728806,2,False
49,grid_like,28,28,0,74.84652483807463,901.7492595281072,0,True
50,dispersed,28,28,0,32.78242116802726,1007.8208624265359,1,False
51,dispersed,28,28,0,25.897437205578477,925.4226402097665,2,False
52,compact,28,28,0,50.967044592809586,915.7135502616258,0,True
53,random_sparse,28,28,0,49.445440914480734,799.8567639835618,0,True
54,grid_like,28,28,0,38.86562297967402,799.8787300727677,1,False
55,dispersed,28,28,0,43.62829340405726,807.6985672785221,0,True
56,dispersed,28,28,0,103.89245417032835,955.1274192203834,0,True
57,dispersed,28,28,0,26.56511001540124,937.0724383676621,1,False
58,diagonal,28,28,0,63.335337369793514,840.5695082098629,0,True
59,grid_like,28,28,0,31.909896824126893,901.3140590324451,1,False
60,dispersed,28,28,0,44.469084102336566,996.4520347974151,0,True
61,grid_like,28,28,0,43.79861708941633,900.3565277747783,0,True
62,diagonal,28,28,0,28.005412016464035,840.0321117293656,1,False
63,random_sparse,28,28,0,28.308016741918813,999.0726215687723,4,False
64,compact,28,28,0,23.86666740956064,854.719228228456,1,False
65,random_sparse,28,28,0,33.54489456927673,989.5942949757408,2,False
66,diagonal,28,28,0,20.765362224412073,926.3123535581066,1,False
67,diagonal,28,28,0,35.414599397321865,892.039633377243,1,False
68,compact,28,28,0,29.51801955662733,777.5478871040258,2,False
69,dispersed,28,28,0,27.548897462653656,903.8248905011146,1,False
70,dispersed,28,28,0,34.107879133903374,837.7416906173196,2,False
71,grid_like,28,28,0,37.59069146971957,917.2919920703106,1,False
72,compact,28,28,0,48.29733502601335,1025.322548605826,0,True
73,grid_like,28,28,0,39.49603536756275,1044.2304899064918,0,True
74,row_aligned,28,28,0,73.49003457952801,751.8804883424365,0,True
75,row_aligned,28,28,0,50.63583069331577,669.1391318949776,0,True
76,compact,28,28,0,55.298149354951164,903.6186823661657,0,True
77,random_sparse,28,28,0,32.670352393086894,745.1978405036905,1,False
78,dispersed,28,28,0,47.77553259140485,981.3196427051786,0,True
79,compact,28,28,0,27.259470425941327,838.1378261193393,1,False
80,random_sparse,28,28,0,28.136189942573942,930.7404852957553,1,False
81,row_aligned,28,28,0,55.87787986137444,960.1181389637358,0,True
82,row_aligned,28,28,0,43.37434001597412,1004.821443795502,0,True
83,random_sparse,28,28,0,50.85684559781501,894.6744071952781,0,True
84,row_aligned,28,28,0,83.2125814981152,1001.1781095802256,0,True
85,grid_like,28,28,0,24.37172824033035,964.112285390107,1,False
86,compact,28,28,0,47.12774573575546,898.8054050631881,0,True
87,random_sparse,28,28,0,32.740092959632456,745.6121804958832,1,False
88,grid_like,28,28,0,31.371968289946384,865.9378191427517,1,False
89,dispersed,28,28,0,91.74651404768294,874.5609521924438,0,True
90,diagonal,28,28,0,36.5146592336911,934.5633221863358,1,False
91,grid_like,28,28,0,84.29227518589224,781.1465129677989,0,True
92,grid_like,28,28,0,32.75347198098572,896.1634703499583,1,False
93,row_aligned,28,28,0,63.246302712340885,932.0235798100666,0,True
94,diagonal,28,28,0,30.83856367387269,1001.2082013745822,3,False
95,dispersed,28,28,0,37.0035504994942,954.0378225086333,1,False
96,dispersed,28,28,0,40.56220841304875,866.5771575641762,0,True
97,row_aligned,28,28,0,82.98154176281152,894.1054887506305,0,True
98,row_aligned,28,28,0,31.477947453521335,826.7379341536376,1,False
99,random_sparse,28,28,0,28.756626778162733,923.3240742296398,1,False
100,dispersed,28,28,0,51.73626393040933,876.189222456989,0,True
101,random_sparse,28,28,0,59.49625567083574,993.9846770151973,0,True
102,dispersed,28,28,0,67.9170867190052,807.3803256342302,0,True
103,grid_like,28,28,0,47.65079647530656,958.7589950003368,0,True
104,random_sparse,28,28,0,40.660380371951,1028.7696557223626,0,True
105,random_sparse,28,28,0,38.25387525035953,846.3726652499049,1,False
106,grid_like,28,28,0,30.891906946740306,916.2688360942356,1,False
107,diagonal,28,28,0,86.02058780307587,856.3571831677812,0,True
108,row_aligned,28,28,0,23.99318499166167,891.6154109771538,1,False
109,random_sparse,28,28,0,39.22498246300443,936.4971981845667,0,True
110,row_aligned,28,28,0,35.07000616870517,937.9728716808721,1,False
111,dispersed,28,28,0,33.01878893808958,860.0516790768293,1,False
112,random_sparse,28,28,0,51.02669172451169,892.5655641401728,0,True
113,random_sparse,28,28,0,94.91598046115168,905.5069055870359,0,True
114,diagonal,28,28,0,24.85566225264194,943.8355208636503,2,False
115,grid_like,28,28,0,40.00120450491674,912.2924423854291,0,True
116,compact,28,28,0,37.606251946252264,880.5290811809316,1,False
117,diagonal,28,28,0,24.819448214227535,921.4318368395568,2,False
118,diagonal,28,28,0,30.695767287221738,866.9112675700189,2,False
119,random_sparse,28,28,0,57.09248130898939,842.5364330645451,0,True
